"","type","amount","oldbalanceOrg","newbalanceOrig","oldbalanceDest","newbalanceDest","isFraud","type_CASH_IN","type_CASH_OUT","type_DEBIT","type_PAYMENT","type_TRANSFER"
"731","PAYMENT",4393.39,562,0,0,0,0,0,0,0,1,0
"732","PAYMENT",14790.55,16711,1920.45,0,0,0,0,0,0,1,0
"733","PAYMENT",2437.94,20316.71,17878.77,0,0,0,0,0,0,1,0
"734","CASH_OUT",98299.03,0,0,282467.96,380766.99,0,0,1,0,0,0
"735","CASH_OUT",575594.75,16606,0,4768474.24,5518941.31,0,0,1,0,0,0
"736","PAYMENT",858.18,26660,25801.82,0,0,0,0,0,0,1,0
"737","TRANSFER",825887.53,2136,0,16162.29,842049.81,0,0,0,0,0,1
"738","CASH_OUT",306785.63,0,0,740997.11,1047782.74,0,0,1,0,0,0
"739","TRANSFER",320337.74,49950,0,778431.61,1098769.35,0,0,0,0,0,1
"740","CASH_OUT",66883.23,0,0,1342561.49,1441786.81,0,0,1,0,0,0
"741","CASH_IN",205627.05,7093,212720.05,0,0,0,1,0,0,0,0
"742","PAYMENT",15516.42,0,0,0,0,0,0,0,0,1,0
"743","PAYMENT",4264.81,0,0,0,0,0,0,0,0,1,0
"744","CASH_OUT",5272.7,0,0,1849482.8,1854755.5,0,0,1,0,0,0
"745","TRANSFER",1436884,14203,0,0,1436884,0,0,0,0,0,1
"746","CASH_IN",252825.37,6441215.78,6694041.14,618302.65,365477.29,0,1,0,0,0,0
"747","CASH_OUT",257990.42,0,0,384838.58,642829,0,0,1,0,0,0
"748","CASH_OUT",104068.06,0,0,8050199.71,8154267.77,0,0,1,0,0,0
"749","PAYMENT",25284.24,79895,54610.76,0,0,0,0,0,0,1,0
"750","CASH_OUT",243348.28,243348.28,0,0,243348.28,1,0,1,0,0,0
"751","PAYMENT",5552.37,11180,5627.63,0,0,0,0,0,0,1,0
"752","TRANSFER",279750.47,0,0,694960.65,974711.13,0,0,0,0,0,1
"753","CASH_OUT",116076.39,20868,0,613393.14,839132.06,0,0,1,0,0,0
"754","PAYMENT",34962.05,0,0,0,0,0,0,0,0,1,0
"755","PAYMENT",794.29,134451,133656.71,0,0,0,0,0,0,1,0
"756","CASH_IN",204199.83,55460,259659.83,0,0,0,1,0,0,0,0
"757","CASH_OUT",319367.12,0,0,421031.35,740398.47,0,0,1,0,0,0
"758","TRANSFER",466914.96,0,0,1269838.87,1736753.84,0,0,0,0,0,1
"759","PAYMENT",10329.5,161,0,0,0,0,0,0,0,1,0
"760","CASH_IN",116345.31,136602,252947.31,1285927.91,1169582.6,0,1,0,0,0,0
"761","CASH_IN",38328.94,18856324.39,18894653.33,74853.06,36524.13,0,1,0,0,0,0
"762","PAYMENT",22121.84,66719.92,44598.08,0,0,0,0,0,0,1,0
"763","CASH_OUT",77665.22,149721,72055.78,257063.89,334729.11,0,0,1,0,0,0
"764","PAYMENT",27011.62,18652.26,0,0,0,0,0,0,0,1,0
"765","PAYMENT",33441.15,418463.68,385022.53,0,0,0,0,0,0,1,0
"766","CASH_OUT",195515.91,0,0,1480841.09,1676357,0,0,1,0,0,0
"767","PAYMENT",1643.96,21269,19625.04,0,0,0,0,0,0,1,0
"768","TRANSFER",541836.26,0,0,3603675.82,4145512.08,0,0,0,0,0,1
"769","CASH_IN",263692.55,749975.01,1013667.56,3811713.63,3548021.08,0,1,0,0,0,0
"770","CASH_OUT",172179.27,18535,0,0,257638.14,0,0,1,0,0,0
"771","CASH_OUT",21603.48,19396,0,56264.79,77868.27,0,0,1,0,0,0
"772","PAYMENT",5105.45,0,0,0,0,0,0,0,0,1,0
"773","CASH_OUT",232976.31,0,0,8487901.43,8720877.74,0,0,1,0,0,0
"774","CASH_IN",255524.55,121496,377020.55,304138.34,48613.78,0,1,0,0,0,0
"775","CASH_OUT",248089.36,100525,0,2145927.79,2394017.15,0,0,1,0,0,0
"776","CASH_OUT",450178.24,6640,0,35256.83,485435.07,0,0,1,0,0,0
"777","PAYMENT",21915.43,275594.08,253678.65,0,0,0,0,0,0,1,0
"778","CASH_IN",236199.03,11884157.59,12120356.63,339239.32,103040.29,0,1,0,0,0,0
"779","CASH_IN",65304.78,3859580.03,3924884.81,2221788.92,2156484.13,0,1,0,0,0,0
"780","PAYMENT",9635.35,279628.33,269992.98,0,0,0,0,0,0,1,0
"781","CASH_IN",80594.02,5044,85638.02,464656.33,384062.31,0,1,0,0,0,0
"782","PAYMENT",4233.52,5213,979.48,0,0,0,0,0,0,1,0
"783","PAYMENT",1832.19,0,0,0,0,0,0,0,0,1,0
"784","TRANSFER",956735.73,35361,0,0,956735.73,0,0,0,0,0,1
"785","TRANSFER",1340153.48,10619,0,7520743.7,8860897.18,0,0,0,0,0,1
"786","CASH_IN",155162.18,1264950.58,1420112.76,191201.48,36039.3,0,1,0,0,0,0
"787","PAYMENT",2080.27,42445,40364.73,0,0,0,0,0,0,1,0
"788","CASH_OUT",111258.36,0,0,113512.63,224771,0,0,1,0,0,0
"789","PAYMENT",29019.56,11513,0,0,0,0,0,0,0,1,0
"790","PAYMENT",8471.05,181756.54,173285.5,0,0,0,0,0,0,1,0
"791","CASH_OUT",245458.7,30530,0,92936.34,338395.04,0,0,1,0,0,0
"792","PAYMENT",12485.89,0,0,0,0,0,0,0,0,1,0
"793","CASH_OUT",49188.48,0,0,165140.18,214328.65,0,0,1,0,0,0
"794","CASH_OUT",80904.57,20394,0,0,80904.57,0,0,1,0,0,0
"795","CASH_OUT",504798.08,21201,0,657071.65,1161869.73,0,0,1,0,0,0
"796","PAYMENT",15930.94,0,0,0,0,0,0,0,0,1,0
"797","PAYMENT",17262.41,328344.53,311082.12,0,0,0,0,0,0,1,0
"798","CASH_OUT",114792.83,0,0,151220.78,266013.61,0,0,1,0,0,0
"799","CASH_OUT",469967.87,0,0,901620.65,1371588.52,0,0,1,0,0,0
"800","TRANSFER",7815.66,0,0,142256.42,150072.08,0,0,0,0,0,1
"801","CASH_OUT",210268.66,0,0,3023472.85,3233741.51,0,0,1,0,0,0
"802","CASH_IN",182727.78,20853,203580.78,16078.12,0,0,1,0,0,0,0
"803","CASH_OUT",184564.14,0,0,1742424.95,1926989.09,0,0,1,0,0,0
"804","CASH_OUT",173226.12,0,0,3110880.73,3284106.85,0,0,1,0,0,0
"805","CASH_IN",141899.16,2981318.29,3123217.46,1997633.96,1855734.8,0,1,0,0,0,0
"806","CASH_IN",509423.66,131224.14,640647.8,1065866.3,556442.64,0,1,0,0,0,0
"807","CASH_OUT",224653.13,0,0,3039983.22,3264636.35,0,0,1,0,0,0
"808","CASH_OUT",18539.33,11136,0,1107712.03,1422998.86,0,0,1,0,0,0
"809","TRANSFER",844900.53,0,0,880197.85,1725098.38,0,0,0,0,0,1
"810","CASH_IN",26605.18,975843,1002448.18,6397702.83,6371097.65,0,1,0,0,0,0
"811","PAYMENT",4650.44,0,0,0,0,0,0,0,0,1,0
"812","CASH_OUT",333918.04,112405,0,535753.11,869671.15,0,0,1,0,0,0
"813","CASH_IN",98894,7906120.55,8005014.56,187947.55,89053.55,0,1,0,0,0,0
"814","CASH_OUT",114106.53,0,0,135677342.01,135791448.54,0,0,1,0,0,0
"815","CASH_OUT",61176.06,44293,0,4056855.25,4118031.31,0,0,1,0,0,0
"816","CASH_OUT",174969.71,0,0,1035664.25,1210633.96,0,0,1,0,0,0
"817","CASH_OUT",382903.74,0,0,1290116.7,1673020.44,0,0,1,0,0,0
"818","CASH_OUT",384001.09,14420,0,2863146.58,3247147.67,0,0,1,0,0,0
"819","CASH_OUT",10771.94,528,0,0,10771.94,0,0,1,0,0,0
"820","CASH_IN",17681.51,99176,116857.51,2085404.57,2067723.06,0,1,0,0,0,0
"821","DEBIT",1299.5,50016,48716.5,1250443.69,1251743.18,0,0,0,1,0,0
"822","PAYMENT",1743.69,200534,198790.31,0,0,0,0,0,0,1,0
"823","PAYMENT",25149.87,22336,0,0,0,0,0,0,0,1,0
"824","PAYMENT",28029.27,21846,0,0,0,0,0,0,0,1,0
"825","CASH_OUT",174143.92,32079,0,0,174143.92,0,0,1,0,0,0
"826","CASH_OUT",19443.77,36747,17303.23,133110.63,152554.4,0,0,1,0,0,0
"827","CASH_IN",461759.03,51619,513378.03,90530.18,0,0,1,0,0,0,0
"828","CASH_IN",30457.74,9679435.12,9709892.86,167924.55,137466.81,0,1,0,0,0,0
"829","CASH_OUT",230385.31,238598,8212.69,451324.15,681709.46,0,0,1,0,0,0
"830","PAYMENT",4168.24,0,0,0,0,0,0,0,0,1,0
"831","CASH_OUT",441378.38,290075.09,0,670771.1,1112149.48,0,0,1,0,0,0
"832","CASH_OUT",428051.05,246,0,40000.14,468051.19,0,0,1,0,0,0
"833","CASH_IN",96711.03,18839400.39,18936111.42,989359.62,1008841.63,0,1,0,0,0,0
"834","PAYMENT",34843.83,331508,296664.17,0,0,0,0,0,0,1,0
"835","CASH_IN",149440.77,2441917.81,2591358.58,811381.22,661940.45,0,1,0,0,0,0
"836","PAYMENT",45341.27,0,0,0,0,0,0,0,0,1,0
"837","PAYMENT",2821.47,261956.3,259134.84,0,0,0,0,0,0,1,0
"838","TRANSFER",629086.85,272330.18,0,776170.99,1405257.84,0,0,0,0,0,1
"839","CASH_IN",177703.02,11131,188834.02,0,0,0,1,0,0,0,0
"840","CASH_IN",149892.02,0,149892.02,782277.11,632385.1,0,1,0,0,0,0
"841","PAYMENT",20762.05,0,0,0,0,0,0,0,0,1,0
"842","CASH_IN",28851.02,403444.43,432295.45,1390318.39,1361467.37,0,1,0,0,0,0
"843","TRANSFER",1715028.25,265521,0,0,1715028.25,0,0,0,0,0,1
"844","PAYMENT",2689.55,0,0,0,0,0,0,0,0,1,0
"845","CASH_OUT",205793.48,0,0,486083.24,837269.18,0,0,1,0,0,0
"846","PAYMENT",13334.74,533890.38,520555.64,0,0,0,0,0,0,1,0
"847","CASH_IN",71864.34,13871,85735.34,810330.32,907353.55,0,1,0,0,0,0
"848","CASH_IN",97133.62,4058469.1,4155602.72,8594939.68,8497806.05,0,1,0,0,0,0
"849","PAYMENT",3947.67,149238,145290.33,0,0,0,0,0,0,1,0
"850","CASH_OUT",667154.99,0,0,2229051.22,2896206.21,0,0,1,0,0,0
"851","CASH_OUT",376154.51,125420,0,0,376154.51,0,0,1,0,0,0
"852","PAYMENT",6374.28,146074.21,139699.93,0,0,0,0,0,0,1,0
"853","PAYMENT",22323.37,84839,62515.63,0,0,0,0,0,0,1,0
"854","PAYMENT",3601.97,29596,25994.03,0,0,0,0,0,0,1,0
"855","CASH_IN",55642.3,11135276.48,11190918.78,104193.69,48551.39,0,1,0,0,0,0
"856","TRANSFER",1696491.62,0,0,5737651.1,7434142.72,0,0,0,0,0,1
"857","CASH_OUT",163681.54,58116,0,4017396.03,4181077.56,0,0,1,0,0,0
"858","CASH_OUT",85805.23,120426,34620.77,0,85805.23,0,0,1,0,0,0
"859","CASH_OUT",163156.89,90805,0,247988.81,411145.71,0,0,1,0,0,0
"860","CASH_OUT",132622.95,302376,169753.05,732880.79,865503.74,0,0,1,0,0,0
"861","PAYMENT",4137.78,89445,85307.22,0,0,0,0,0,0,1,0
"862","TRANSFER",318865.73,0,0,3515477.31,3834343.04,0,0,0,0,0,1
"863","PAYMENT",27652.36,24648,0,0,0,0,0,0,0,1,0
"864","PAYMENT",10243.33,0,0,0,0,0,0,0,0,1,0
"865","PAYMENT",16366.23,239418.57,223052.34,0,0,0,0,0,0,1,0
"866","CASH_IN",104612.77,3506859.36,3611472.14,108713.78,4101.01,0,1,0,0,0,0
"867","CASH_OUT",178939.03,102,0,59444.09,238383.13,0,0,1,0,0,0
"868","CASH_OUT",441613.1,0,0,2112060.75,2553673.85,0,0,1,0,0,0
"869","CASH_IN",333451.96,434885.52,768337.48,409305.31,75853.36,0,1,0,0,0,0
"870","PAYMENT",29499.76,50821,21321.24,0,0,0,0,0,0,1,0
"871","TRANSFER",456317.31,0,0,1732004.35,2188321.65,0,0,0,0,0,1
"872","CASH_IN",163791.67,81764.24,245555.92,1113608.27,949816.6,0,1,0,0,0,0
"873","PAYMENT",5130.69,0,0,0,0,0,0,0,0,1,0
"874","CASH_IN",309766.78,25103793.61,25413560.39,388744.47,78977.68,0,1,0,0,0,0
"875","CASH_OUT",10579.97,294403,283823.03,341978.96,352558.94,0,0,1,0,0,0
"876","PAYMENT",58812.72,203096,144283.28,0,0,0,0,0,0,1,0
"877","CASH_OUT",31989.38,0,0,88742.2,120731.58,0,0,1,0,0,0
"878","PAYMENT",12815.72,260508,247692.28,0,0,0,0,0,0,1,0
"879","CASH_OUT",117074.77,169211.83,52137.06,200660.35,317735.12,0,0,1,0,0,0
"880","CASH_OUT",464215.35,0,0,3198723.64,3662938.99,0,0,1,0,0,0
"881","PAYMENT",33851.28,50030,16178.72,0,0,0,0,0,0,1,0
"882","TRANSFER",391474.22,0,0,412406.5,803880.72,0,0,0,0,0,1
"883","CASH_IN",65390.34,24601664.07,24667054.4,111143.4,45753.07,0,1,0,0,0,0
"884","PAYMENT",2046.38,28125.74,26079.36,0,0,0,0,0,0,1,0
"885","TRANSFER",376297.44,0,0,6751951.51,7128248.95,0,0,0,0,0,1
"886","PAYMENT",8096.98,0,0,0,0,0,0,0,0,1,0
"887","PAYMENT",19020.62,0,0,0,0,0,0,0,0,1,0
"888","PAYMENT",44708.99,0,0,0,0,0,0,0,0,1,0
"889","PAYMENT",7851.31,0,0,0,0,0,0,0,0,1,0
"890","CASH_IN",47230.81,128486,175716.81,217539.03,170308.22,0,1,0,0,0,0
"891","PAYMENT",16844.01,0,0,0,0,0,0,0,0,1,0
"892","PAYMENT",17488.44,340251.67,322763.23,0,0,0,0,0,0,1,0
"893","PAYMENT",18499.11,0,0,0,0,0,0,0,0,1,0
"894","CASH_IN",12497.11,1994378.93,2006876.04,841593.52,829096.41,0,1,0,0,0,0
"895","CASH_IN",141426.68,251747,393173.68,5696778.79,5555352.11,0,1,0,0,0,0
"896","CASH_IN",9625.23,55797,65422.23,6069767.58,6060142.34,0,1,0,0,0,0
"897","CASH_IN",62478.89,195990,258468.89,2530392.22,2467913.32,0,1,0,0,0,0
"898","CASH_OUT",75857.48,0,0,2101021.71,2176879.2,0,0,1,0,0,0
"899","PAYMENT",9958.81,512955.04,502996.23,0,0,0,0,0,0,1,0
"900","CASH_IN",30289.97,90730,121019.97,0,0,0,1,0,0,0,0
"901","CASH_IN",37502.95,4788624.2,4826127.15,242530.31,205027.36,0,1,0,0,0,0
"902","CASH_OUT",307060.15,0,0,983472.69,1290532.83,0,0,1,0,0,0
"903","PAYMENT",2952.55,4096.03,1143.48,0,0,0,0,0,0,1,0
"904","CASH_OUT",270559.29,3394,0,2347819.75,2445459.06,0,0,1,0,0,0
"905","CASH_OUT",146017.73,24485,0,30986.41,177004.14,0,0,1,0,0,0
"906","CASH_OUT",134906.32,80916,0,0,134906.32,0,0,1,0,0,0
"907","PAYMENT",52191.55,765188,712996.45,0,0,0,0,0,0,1,0
"908","CASH_IN",229388.14,81272,310660.14,116199.92,0,0,1,0,0,0,0
"909","CASH_IN",117637.04,506935.51,624572.55,346091.17,228454.14,0,1,0,0,0,0
"910","PAYMENT",11882.4,44062,32179.6,0,0,0,0,0,0,1,0
"911","CASH_OUT",203920.03,319,0,0,203920.03,0,0,1,0,0,0
"912","PAYMENT",3041.02,566303.86,563262.84,0,0,0,0,0,0,1,0
"913","CASH_IN",32365.53,7660577.81,7692943.34,1080072.07,1047706.54,0,1,0,0,0,0
"914","CASH_OUT",59548.81,297998,238449.19,0,59548.81,0,0,1,0,0,0
"915","CASH_OUT",146102.27,0,0,583819.09,802773.11,0,0,1,0,0,0
"916","PAYMENT",25460.67,0,0,0,0,0,0,0,0,1,0
"917","PAYMENT",7084.27,7319,234.73,0,0,0,0,0,0,1,0
"918","CASH_OUT",59425.22,0,0,269554.54,328979.76,0,0,1,0,0,0
"919","CASH_IN",205110.95,132936,338046.95,971277.47,766166.52,0,1,0,0,0,0
"920","PAYMENT",20167.15,0,0,0,0,0,0,0,0,1,0
"921","CASH_OUT",114338.87,76326,0,1601506.51,1715845.38,0,0,1,0,0,0
"922","CASH_OUT",98703.34,21564,0,1229979.44,1328682.78,0,0,1,0,0,0
"923","CASH_OUT",184583.2,118576.77,0,253188.23,437771.44,0,0,1,0,0,0
"924","CASH_OUT",124074.77,0,0,2572110.94,2696185.71,0,0,1,0,0,0
"925","TRANSFER",469808.53,9,0,380009.07,849817.6,0,0,0,0,0,1
"926","CASH_IN",351601.33,3340654.11,3692255.44,7637366.21,8403563.83,0,1,0,0,0,0
"927","PAYMENT",4927.33,0,0,0,0,0,0,0,0,1,0
"928","CASH_IN",288247.49,21060013.6,21348261.09,784649.89,496402.4,0,1,0,0,0,0
"929","PAYMENT",33227.48,100507,67279.52,0,0,0,0,0,0,1,0
"930","PAYMENT",43004.13,11755.14,0,0,0,0,0,0,0,1,0
"931","CASH_OUT",115620.59,0,0,5565121.89,5680742.47,0,0,1,0,0,0
"932","PAYMENT",5383.52,20152,14768.48,0,0,0,0,0,0,1,0
"933","TRANSFER",2512114.92,7955,0,547085.34,3059200.27,0,0,0,0,0,1
"934","CASH_OUT",33504.63,75214.75,41710.12,492876.29,526380.92,0,0,1,0,0,0
"935","CASH_IN",131758.9,16998641.39,17130400.29,1195437.99,1063679.09,0,1,0,0,0,0
"936","PAYMENT",26023.31,0,0,0,0,0,0,0,0,1,0
"937","CASH_OUT",105190.57,47074,0,0,105190.57,0,0,1,0,0,0
"938","CASH_OUT",226250.63,101208,0,0,391370.41,0,0,1,0,0,0
"939","CASH_OUT",152349.95,0,0,2260679.63,2413029.58,0,0,1,0,0,0
"940","CASH_IN",278768.31,13138,291906.31,461763.25,102559.27,0,1,0,0,0,0
"941","CASH_OUT",66762.24,0,0,363554.52,430316.76,0,0,1,0,0,0
"942","CASH_OUT",27772.36,19619,0,675378.2,703150.56,0,0,1,0,0,0
"943","TRANSFER",1968949.64,0,0,14209048.11,16177997.75,0,0,0,0,0,1
"944","PAYMENT",6182.8,239503.96,233321.16,0,0,0,0,0,0,1,0
"945","CASH_IN",85523.36,4727055.58,4812578.93,7842730.49,7757207.13,0,1,0,0,0,0
"946","PAYMENT",4329.71,62226.32,57896.6,0,0,0,0,0,0,1,0
"947","CASH_IN",267669.89,8356973.18,8624643.07,968505.04,700835.15,0,1,0,0,0,0
"948","PAYMENT",6054.39,12267,6212.61,0,0,0,0,0,0,1,0
"949","CASH_OUT",66445.11,1661,0,174076.86,240521.97,0,0,1,0,0,0
"950","CASH_OUT",194981.46,134665,0,0,194981.46,0,0,1,0,0,0
"951","PAYMENT",1163.45,42222,41058.55,0,0,0,0,0,0,1,0
"952","CASH_IN",628605.08,9987,638592.08,73822.37,0,0,1,0,0,0,0
"953","CASH_OUT",122797.28,5843,0,0,122797.28,0,0,1,0,0,0
"954","PAYMENT",437.39,0,0,0,0,0,0,0,0,1,0
"955","PAYMENT",67347.76,0,0,0,0,0,0,0,0,1,0
"956","PAYMENT",7247.27,0,0,0,0,0,0,0,0,1,0
"957","PAYMENT",4403.61,0,0,0,0,0,0,0,0,1,0
"958","PAYMENT",48755,363254,314499,0,0,0,0,0,0,1,0
"959","CASH_OUT",98240.91,346,0,210544.43,308785.34,0,0,1,0,0,0
"960","CASH_OUT",206020.29,0,0,2227149.74,2433170.03,0,0,1,0,0,0
"961","PAYMENT",11676.57,0,0,0,0,0,0,0,0,1,0
"962","TRANSFER",1367458.51,0,0,2533806.66,4193732.01,0,0,0,0,0,1
"963","PAYMENT",4069.93,280,0,0,0,0,0,0,0,1,0
"964","PAYMENT",12184.58,0,0,0,0,0,0,0,0,1,0
"965","CASH_IN",2170.89,306,2476.89,110707.17,108536.28,0,1,0,0,0,0
"966","CASH_OUT",43900.67,31660,0,465857.37,509758.04,0,0,1,0,0,0
"967","CASH_OUT",103728.47,10602,0,207550.04,349055.74,0,0,1,0,0,0
"968","PAYMENT",7166.4,0,0,0,0,0,0,0,0,1,0
"969","CASH_OUT",3827.79,298529,294701.21,0,3827.79,0,0,1,0,0,0
"970","CASH_OUT",169429.52,30813,0,367836.69,537266.21,0,0,1,0,0,0
"971","PAYMENT",13615.12,0,0,0,0,0,0,0,0,1,0
"972","PAYMENT",11209.6,30583,19373.4,0,0,0,0,0,0,1,0
"973","CASH_IN",245306.74,10318,255624.74,0,0,0,1,0,0,0,0
"974","CASH_IN",180526.88,41120,221646.88,1247485.52,934504.42,0,1,0,0,0,0
"975","CASH_OUT",122722.1,0,0,1642118.6,1764840.69,0,0,1,0,0,0
"976","PAYMENT",11883.12,2553,0,0,0,0,0,0,0,1,0
"977","PAYMENT",9956.36,0,0,0,0,0,0,0,0,1,0
"978","PAYMENT",13302.35,62250,48947.65,0,0,0,0,0,0,1,0
"979","CASH_OUT",2899.27,1490,0,0,2899.27,0,0,1,0,0,0
"980","PAYMENT",29043.05,0,0,0,0,0,0,0,0,1,0
"981","TRANSFER",187051.76,0,0,1367371.05,1554422.82,0,0,0,0,0,1
"982","PAYMENT",4669.78,19961,15291.22,0,0,0,0,0,0,1,0
"983","CASH_IN",111001.78,7831393.02,7942394.81,391049.01,280047.22,0,1,0,0,0,0
"984","PAYMENT",5972.18,74501.22,68529.04,0,0,0,0,0,0,1,0
"985","CASH_IN",40598.88,14271449.89,14312048.77,299464.84,258865.96,0,1,0,0,0,0
"986","PAYMENT",8234.91,51377,43142.09,0,0,0,0,0,0,1,0
"987","PAYMENT",24865.09,20883,0,0,0,0,0,0,0,1,0
"988","PAYMENT",6357.51,0,0,0,0,0,0,0,0,1,0
"989","CASH_OUT",66606.65,0,0,114875.48,181482.12,0,0,1,0,0,0
"990","CASH_OUT",162105.13,0,0,4409340.11,4571445.24,0,0,1,0,0,0
"991","CASH_OUT",71511.29,26134,0,491276.45,562787.75,0,0,1,0,0,0
"992","PAYMENT",32472.2,0,0,0,0,0,0,0,0,1,0
"993","CASH_IN",90245.68,2683167.39,2773413.07,611122.08,520876.4,0,1,0,0,0,0
"994","PAYMENT",7394.53,543071.19,535676.65,0,0,0,0,0,0,1,0
"995","CASH_OUT",1248.9,0,0,507620.52,383595.71,0,0,1,0,0,0
"996","CASH_OUT",310498.98,0,0,420735.89,731234.86,0,0,1,0,0,0
"997","CASH_OUT",105963.39,20259,0,633227.73,739191.12,0,0,1,0,0,0
"998","TRANSFER",124556.3,0,0,347376.81,471933.11,0,0,0,0,0,1
"999","PAYMENT",6940.78,363,0,0,0,0,0,0,0,1,0
"1000","CASH_OUT",111125.79,0,0,12627745.3,12738871.09,0,0,1,0,0,0
"1001","PAYMENT",11552.03,0,0,0,0,0,0,0,0,1,0
"1002","CASH_IN",190451.97,17790398.33,17980850.3,3659572.34,3469120.37,0,1,0,0,0,0
"1003","CASH_OUT",123599.39,0,0,2564403.35,2688002.74,0,0,1,0,0,0
"1004","CASH_IN",42979.06,609047.67,652026.73,3203208.76,3160229.69,0,1,0,0,0,0
"1005","PAYMENT",19693.63,0,0,0,0,0,0,0,0,1,0
"1006","PAYMENT",20075.79,0,0,0,0,0,0,0,0,1,0
"1007","CASH_OUT",133881.26,813635,679753.74,373774.72,507655.98,0,0,1,0,0,0
"1008","PAYMENT",13041.43,31263,18221.57,0,0,0,0,0,0,1,0
"1009","CASH_OUT",78032.22,634,0,0,141769.28,0,0,1,0,0,0
"1010","TRANSFER",789543.66,0,0,1324523.52,2063381.28,0,0,0,0,0,1
"1011","CASH_OUT",2513.39,63441,60927.61,649024.95,974189.55,0,0,1,0,0,0
"1012","CASH_OUT",95600.06,125016.38,29416.32,9802291.6,9897891.65,0,0,1,0,0,0
"1013","CASH_IN",163494.02,4928034.63,5091528.64,5036145.85,4872651.84,0,1,0,0,0,0
"1014","TRANSFER",1441998.96,0,0,1545428.38,2987427.35,0,0,0,0,0,1
"1015","CASH_OUT",132740.37,20089,0,4013611.99,4146352.36,0,0,1,0,0,0
"1016","PAYMENT",8146.93,0,0,0,0,0,0,0,0,1,0
"1017","CASH_OUT",73447.86,0,0,833331.73,906779.58,0,0,1,0,0,0
"1018","PAYMENT",3687.94,0,0,0,0,0,0,0,0,1,0
"1019","CASH_IN",87034.93,10332,97366.93,0,0,0,1,0,0,0,0
"1020","CASH_OUT",2061.09,0,0,401955.45,404016.54,0,0,1,0,0,0
"1021","PAYMENT",21981.69,0,0,0,0,0,0,0,0,1,0
"1022","CASH_IN",345688.79,11198,356886.79,0,0,0,1,0,0,0,0
"1023","CASH_OUT",311697.94,286247,0,242824.72,554522.67,0,0,1,0,0,0
"1024","PAYMENT",3704.3,0,0,0,0,0,0,0,0,1,0
"1025","CASH_OUT",48159.6,0,0,4633402.49,4681562.09,0,0,1,0,0,0
"1026","CASH_IN",92394.56,2605929,2698323.56,2670025.52,2577630.96,0,1,0,0,0,0
"1027","PAYMENT",35223.64,51720,16496.36,0,0,0,0,0,0,1,0
"1028","PAYMENT",9881.43,0,0,0,0,0,0,0,0,1,0
"1029","CASH_IN",84297.55,21071,105368.55,0,0,0,1,0,0,0,0
"1030","CASH_IN",54517,8927304.27,8981821.27,261058.78,206541.78,0,1,0,0,0,0
"1031","CASH_OUT",350503.22,46407,0,2259815.6,2751054.3,0,0,1,0,0,0
"1032","PAYMENT",7023.1,9034,2010.9,0,0,0,0,0,0,1,0
"1033","CASH_OUT",552114.78,0,0,3197275.06,3749389.84,0,0,1,0,0,0
"1034","TRANSFER",1e+07,0,0,1e+07,21511950.93,0,0,0,0,0,1
"1035","CASH_IN",169131.26,8957045.17,9126176.44,848746.25,679614.99,0,1,0,0,0,0
"1036","CASH_IN",222472.92,4498277.81,4720750.73,386902.4,164429.48,0,1,0,0,0,0
"1037","CASH_OUT",189821.6,995417,805595.4,350406.88,540228.48,0,0,1,0,0,0
"1038","CASH_OUT",55847.05,0,0,61340.94,117187.99,0,0,1,0,0,0
"1039","PAYMENT",4727.82,120201.27,115473.45,0,0,0,0,0,0,1,0
"1040","PAYMENT",1164.46,35810.75,34646.29,0,0,0,0,0,0,1,0
"1041","TRANSFER",387970.06,0,0,4046205.99,4434176.05,0,0,0,0,0,1
"1042","PAYMENT",477.78,0,0,0,0,0,0,0,0,1,0
"1043","PAYMENT",10542.2,198134,187591.8,0,0,0,0,0,0,1,0
"1044","CASH_IN",125952.64,944969.47,1070922.1,984107.53,858154.89,0,1,0,0,0,0
"1045","CASH_OUT",4176.48,20837,16660.52,68202.59,72379.08,0,0,1,0,0,0
"1046","PAYMENT",13617.97,52162,38544.03,0,0,0,0,0,0,1,0
"1047","PAYMENT",28316.29,304621,276304.71,0,0,0,0,0,0,1,0
"1048","CASH_IN",262383.67,699846.13,962229.8,4396562.19,4134178.51,0,1,0,0,0,0
"1049","PAYMENT",9236.05,5378.44,0,0,0,0,0,0,0,1,0
"1050","CASH_IN",98572.33,2553499.6,2652071.93,1854212.51,1755640.19,0,1,0,0,0,0
"1051","CASH_OUT",210442.18,32008,0,13351.84,223794.02,0,0,1,0,0,0
"1052","CASH_OUT",31434.55,0,0,223853.95,255288.5,0,0,1,0,0,0
"1053","CASH_OUT",383783.49,40461,0,811936.92,1195720.41,0,0,1,0,0,0
"1054","PAYMENT",24198.35,0,0,0,0,0,0,0,0,1,0
"1055","PAYMENT",14088.97,0,0,0,0,0,0,0,0,1,0
"1056","PAYMENT",9618.73,406477,396858.27,0,0,0,0,0,0,1,0
"1057","CASH_OUT",11531.68,0,0,5857564.92,5869096.59,0,0,1,0,0,0
"1058","PAYMENT",5964.86,23443.88,17479.02,0,0,0,0,0,0,1,0
"1059","CASH_OUT",170863.76,0,0,281653.96,452517.71,0,0,1,0,0,0
"1060","CASH_OUT",130043.06,2178,0,0,130043.06,0,0,1,0,0,0
"1061","PAYMENT",6505.44,5578,0,0,0,0,0,0,0,1,0
